TPO-NEO,R-L-S-W,Section,Word,Pronunciation,Meaning,Persian Meaning,Example
T26,R,P3,rain-fed earth,/reɪn fɛd ɜrθ/ - noun phrase,Earth irrigated only by rainfall,زمین آبیاری شده با باران,The rewards from the rain-fed earth were significantly less.
T26,R,P3,temple,/ˈtɛmpəl/ - noun,"A building devoted to the worship, or regarded as the dwelling place, of a god or gods or other objects of religious reverence",معبد,Impressive temple complexes were central to the cities.
T26,R,P3,complex,/ˈkɑmplɛks/ - noun,A group of buildings or facilities on a site,مجموعه,The temple complex at Uruk was central to its urban structure.
T26,R,P3,patron,/ˈpeɪtrən/ - noun,"A protector or supporter, often used for deities in historical contexts",حامی,"Uruk had two patron gods, Anu and Inanna."
T26,R,P3,sovereign,/ˈsɑvrən/ - adjective,Possessing supreme or ultimate power,حاکم,"Anu, the god of the sky and sovereign of all other gods."
T26,R,P3,clamor,/ˈklæmər/ - noun,Loud and confused noise,هیاهو,The gods destroyed the human race because its clamor had been disturbing.
T26,R,P3,secular rulers,/ˈsɛkjʊlər ˈrulərz/ - noun phrase,Non-religious leaders or administrators,حکومت‌های سکولار,The cities had secular rulers from the earliest times.
T26,R,P3,incise,/ɪnˈsaɪz/ - verb,Cut into a surface with a sharp instrument,حکاکی کردن,The logograms were incised on damp clay tablets.
T26,R,P3,damp,/dæmp/ - adjective,Slightly wet,مرطوب,The earliest script was incised on damp clay tablets.
T26,R,P3,wedge,/wɛʤ/ - noun,A piece with a thick end tapering to a thin edge that is driven between two objects or parts of an object to secure or separate them,ابزار تیزکننده,The stylus had a wedge shape at its end.
T26,R,P3,stylus,/ˈstaɪləs/ - noun,A tool used for writing or engraving,خودکار,A stylus with a wedge shape was used for inscribing cuneiform.
T26,R,P3,pottery,/ˈpɑtəri/ - noun,Objects made from clay and hardened by heat,سفال,The wheel was probably developed first for making pottery.
T26,R,P3,sledge,/slɛʤ/ - noun,"A vehicle on runners for sliding over snow or ice; here, a similar structure for different terrain",سورتمه,A sledge mounted on wheels was depicted on a Sumerian tablet.
T26,R,P3,mounted,"/ˈmaʊntɪd/ - verb, past participle",Fixed onto a support or base,نصب شده,The sledge was mounted on four solid wheels.
T26,R,P3,scythes,/ˈsaɪðs/ - noun plural,Tools with a curved blade for cutting crops at harvest,داس,Scythes made from bronze were more efficient than stone tools.
T26,L,L1,grew interested in it,/ɡruː ˈɪntrəstɪd ɪn ɪt/ - phrase,Began to develop a curiosity or concern about something,به آن علاقمند شد,Advertising professionals grew interested in green marketing decades ago.
T26,L,L1,The seeds for … were planted in …,/ˈsiːdz fɔr/ - phrase,The origins or beginnings of something,بذرها برای,The seeds for green marketing were planted during the first Earth Day.
T26,L,L1,rally,/ˈræli/ - noun,A mass meeting of people showing support for or opposition to something,راهپیمایی,Rallies across the U.S. protested environmental degradation.
T26,L,L1,degradation,/dɪˌgrəˈdeɪʃən/ - noun,The process of something being damaged or deteriorated,تخریب,The rallies protested against environmental degradation.
T26,L,L1,demonstrator,/ˌdɛmənˈstreɪtər/ - noun,A person who participates in a public protest,معترض,Some 20 million demonstrators participated in that first Earth Day.
T26,L,L1,imperiled,/ˌɪmˈpɛrəld/ - adjective,At risk or in danger,در معرض خطر,The Endangered Species Act of 1973 protects imperiled species from extinction.
T26,L,L1,tapping into,/ˈtæpɪŋ ˈɪntu/ - phrase,Utilizing or accessing a resource or quality,بهره‌برداری کردن از,Ads began tapping into people's environmental concerns a few years later.
T26,L,L1,incandescent,/ɪnˈkændəˌsɛnt/ - adjective,Emitting light as a result of being heated,تابان,The eco-light was introduced as an alternative to regular incandescent bulbs.
T26,L,L1,worked like a charm,/wɜrkt laɪk ə ʧɑrm/ - phrase,Functioned very effectively or successfully,موفقیت‌آمیز بود,The revised ad campaign for the eco-light worked like a charm.
T26,L,L2,learned the hard way,/lɜrnd ði hɑrd weɪ/ - phrase,"Learned through experience, especially by making mistakes or having difficulties",از طریق تجربه و اشتباه آموخت,He learned the hard way that investing in the stock market can be risky.
T26,L,L2,diatom,/ˈdaɪətəm/ - noun,A type of microscopic algae that forms the base of many aquatic food chains,دیاتوم (نوعی جلبک ریز که پایه زنجیره غذایی بسیاری از آبزیان را تشکیل می‌دهد),The diatom-rich soil was perfect for growing orchids.
T26,L,L4,palimpsest,/ˈpælɪmpsɛst/ - noun,A manuscript or piece of writing material on which the original writing has been effaced to make room for later writing but of which traces remain.,پالیمپست,The discovery of the Archimedes palimpsest has provided invaluable insights into ancient science.
T26,L,L4,tucked away,/tʌkt əˈweɪ/ - verb (phrase),Hidden or stored in a place that is not easily accessible; kept out of sight.,پنهان کردن,"The letters were tucked away in the attic, forgotten for decades."
T26,L,L4,forger,/ˈfɔrdʒər/ - noun,"Someone who creates fake documents, signatures, or other imitations of real objects, typically with the intent to deceive.",جعل‌کننده,The forger was skilled in replicating the appearance of ancient manuscripts.
T26,L,L4,pop off,/pɑp ˈɔf/ - verb (phrase),"To stand out sharply from a background or context, typically in a sudden or dramatic way.",برجسته شدن، بیرون زدن,"The bright colors of the mural pop off the wall, catching everyone's attention."
